BrandName,Brand ID,Year,Absolut,Aristocrat,Barton,Belvedere,Burnett,Chopin,Crystal Palac,Finlandia,Fleischmann's,Fris,Gilbey's,Gordon's,Grey Goose,Kamchatka,Ketel One,Level,McCormick,Polar Ice,Popov,Pravda,Seagram's,Skol,Sky,Smirnoff,Stolicnaya,Tanqueray,Three Olives,TotalSales,LagTotalSales,2LagTotalSales,LnSales,LnLSales,Ln2Lsales,LnDiff,diff,IfDom,DollarSales,PriceRerUnit,LagPrice,LnPrice,LnLPrice,Mag,News,Outdoor,Broad,Print,LnMag,LnNews,LnOut,LnBroad,LnPrint,Tier1,Tier2,TotalMinusSales,LagTotalMinusSales,TierSales,OutsideTierSales,LagTierSales,LagOutsideTierSales,Firstintro,Marketshare,LagMktshare,YearID,total ad,,,,,,,,
Absolut,15,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,2905,2790,8.006368,7.974189,7.933797,0.0321789,3%,0,352040,117.3467,109.2943,4.765132,4.694044,25713.7,291.4,332.7,1,26005.1,0,0,1.00E-05,1.00E-05,10.16605,1,0,60840,60903,1080,59760,1035,59868,0,0.1339226,0.1242409,3,52343.9,,,,,,,,
Absolut,15,1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,3000,2905,8.113726,8.006368,7.974189,0.107358,11%,0,370072,110.8,117.3467,4.707727,4.765133,25658,177.6,625,1,25835.6,10.15261,5.325933,6.38452,1.00E-05,10.15951,1,0,60532,60840,1255,59277,1080,59760,0,0.1420068,0.1339226,4,52297.2,,,,,,,,
Absolut,15,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3440,3340,3000,8.143227,8.113726,8.006368,0.029501,3%,0,381152,110.8,110.8,4.707727,4.707727,27013.9,201.7,515.7,1,27215.6,10.20411,5.306781,6.245525,1.00E-05,10.21155,1,0,60464,60532,1532,58932,1255,59277,0,0.1467577,0.1420068,5,54947.9,,,,,,,,
Absolut,15,1998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3630,3440,3340,8.196988,8.143227,8.113726,0.0537615,6%,0,419737,115.63,110.8,4.750396,4.707727,27617,308.2,1420.4,161.9,27925.2,10.22619,5.730749,7.258694,5.086979,10.23728,1,0,60306,60464,1730,58576,1532,58932,0,0.1461059,0.1467577,6,57432.7,,,,,,,,
Absolut,15,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,3630,3440,8.306472,8.196988,8.143227,0.1094837,12%,0,468302,115.6301,115.63,4.750397,4.750395,30605.3,258.1,1416.8,70.3,30863.4,10.32893,5.553347,7.256156,4.252772,10.33733,1,0,59918,60306,2118,57800,1730,58576,0,0.1612839,0.1461059,7,63213.9,,,,,,,,
Absolut,15,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4605,4050,3630,8.434898,8.306472,8.196988,0.1284266,14%,0,560025,121.6124,115.6301,4.800839,4.750396,33971.3,533.4,1336.7,143.1,34504.7,10.43327,6.279272,7.197959,4.963544,10.44885,1,0,59395,59918,2549,56846,2118,57800,0,0.173368,0.1612839,8,70489.2,,,,,,,,
Absolut,15,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4379,4605,4050,8.384576,8.434898,8.306472,-0.0503225,-5%,0,556550,127.0952,121.6124,4.844937,4.800839,28559.8,231.3,1999,134.2,28791.1,10.25976,5.443716,7.600402,4.899331,10.26782,1,0,59653,59395,3358,56295,2549,56846,0,0.1575463,0.173368,9,59715.4,,,,,,,,
Absolut,15,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475,4379,4605,8.406261,8.384576,8.434898,0.0216856,2%,0,594000,132.7374,127.0952,4.888373,4.844936,30387.3,424.8,523.1,1,30812.1,10.32178,6.051619,6.259773,1.00E-05,10.33566,1,0,59589,59653,4197,55392,3358,56295,0,0.1504252,0.1575463,10,62148.3,,,,,,,,
Absolut,15,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4488,4475,4379,8.409163,8.406261,8.384576,0.002902,0%,0,620000,138.1462,132.7374,4.928312,4.888373,29275,958.6,2819.4,315.5,30233.6,10.28449,6.865474,7.944279,5.754158,10.31671,1,0,59608,59589,4939,54669,4197,55392,0,0.1392448,0.1504252,11,63602.1,,,,,,,,
Absolut,15,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4640,4488,4475,8.44247,8.409163,8.406261,0.0333061,3%,0,658880,142,138.1462,4.955827,4.928313,31208.5,5.9,2185.1,2202.4,31214.4,10.34845,1.774952,7.689417,7.697303,10.34863,1,0,59488,59608,5582,53906,4939,54669,0,0.1343526,0.1392448,12,66816.3,,,,,,,,
